variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9953849473273685,0.004615052672631514
PK-oddK,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9952121952216127,0.00478780477838725
PK-noH,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9999999946973643,5.3026356638952166e-09
PK-scramble,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9953849473273685,0.004615052672631514
RANDW,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9739066059702062,0.026093394029793826
PK,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9952097086833835,0.004790291316616457
PK-oddK,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9952121952216127,0.00478780477838725
PK-phaseJ,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9953846904492325,0.004615309550767499
PK-noH,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9999999999998983,1.0169642905566434e-13
PK-scramble,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9952097086833835,0.004790291316616457
RANDW,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9769762421995329,0.02302375780046706
PK-phaseJ,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9952124106438093,0.0047875893561907246
PK,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953837221095907,0.004616277890409304
PK-oddK,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9952119134632051,0.0047880865367948555
PK-noH,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.999999998103831,1.8961689995933284e-09
PK-scramble,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953837221095907,0.004616277890409304
RANDW,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9738938124898379,0.026106187510162138
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953821283655061,0.0046178716344938975
CO,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9941999664810254,0.005800033518974623
PK,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952097400467255,0.004790259953274534
PK-oddK,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952119134632051,0.0047880865367948555
INTSEQ,3000.0,5.0,1201,60000,1.0,0.1,fejer,0.9658591568591048,0.03414084314089516
CO,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9940178470730817,0.005982152926918283
PK-noH,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9999999999999689,3.108624468950438e-14
INTSEQ,3000.0,5.0,1201,60000,1.0,0.1,gauss,0.9650828313716044,0.034917168628395556
PK-scramble,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952097400467255,0.004790259953274534
RANDW,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9769729423850753,0.02302705761492474
PK,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.985260281289587,0.014739718710413019
PK-oddK,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.9848303505599687,0.015169649440031296
PK-noH,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.9999999986695767,1.3304233270616805e-09
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952072063005993,0.004792793699400666
PK-scramble,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.985260281289587,0.014739718710413019
RANDW,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.956993578977916,0.04300642102208396
PK-phaseJ,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.985323259790411,0.014676740209588979
PK,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9847773903731333,0.015222609626866723
PK-oddK,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9848303505599687,0.015169649440031296
PK-noH,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9999999994680375,5.319624740707241e-10
PK-scramble,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9847773903731333,0.015222609626866723
PK-phaseJ,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9848621957988338,0.015137804201166172
RANDW,3000.0,7.0,1201,60000,1.0,0.1,gauss,0.9520603244850079,0.04793967551499212
CO,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9942017385525107,0.005798261447489295
CO,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.9885136384002479,0.011486361599752137
PK,3000.0,7.0,2049,60000,1.0,0.1,fejer,0.9852644137015835,0.014735586298416536
INTSEQ,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9658656353159618,0.03413436468403819
INTSEQ,3000.0,7.0,1201,60000,1.0,0.1,fejer,0.9567461277942004,0.04325387220579957
PK-oddK,3000.0,7.0,2049,60000,1.0,0.1,fejer,0.9848279578419555,0.015172042158044463
