variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK,700.0,3.0,801,20000,1.0,0.1,fejer,0.9989687119965411,0.0010312880034588634
PK-oddK,700.0,3.0,801,20000,1.0,0.1,fejer,0.9992222030192061,0.0007777969807939433
PK-noH,700.0,3.0,801,20000,1.0,0.1,fejer,0.9999999930148262,6.985173772733333e-09
PK-scramble,700.0,3.0,801,20000,1.0,0.1,fejer,0.9989687119965411,0.0010312880034588634
PK-phaseJ,700.0,3.0,801,20000,1.0,0.1,fejer,0.9989735769426373,0.0010264230573626687
RANDW,700.0,3.0,801,20000,1.0,0.1,fejer,0.9967007921659422,0.0032992078340577935
PK,700.0,3.0,801,20000,1.0,0.1,gauss,0.9991176680608885,0.0008823319391114692
PK-oddK,700.0,3.0,801,20000,1.0,0.1,gauss,0.9992222030192061,0.0007777969807939433
PK-noH,700.0,3.0,801,20000,1.0,0.1,gauss,0.9999999966121038,3.387896185813588e-09
PK-scramble,700.0,3.0,801,20000,1.0,0.1,gauss,0.9991176680608885,0.0008823319391114692
RANDW,700.0,3.0,801,20000,1.0,0.1,gauss,0.9974946034902343,0.002505396509765667
PK-phaseJ,700.0,3.0,801,20000,1.0,0.1,gauss,0.9991230610196656,0.000876938980334363
PK-oddK,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9992224360650136,0.0007775639349864027
PK,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9989685989299063,0.001031401070093696
CO,700.0,3.0,801,20000,1.0,0.1,fejer,0.9811803480384067,0.018819651961593298
PK-noH,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9999999968814417,3.1185583004855744e-09
PK-scramble,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9989685989299063,0.001031401070093696
INTSEQ,700.0,3.0,801,20000,1.0,0.1,fejer,0.9685036231711153,0.03149637682888473
RANDW,700.0,3.0,1201,20000,1.0,0.1,fejer,0.996702812258039,0.003297187741960972
PK-phaseJ,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9989676278610465,0.0010323721389534635
CO,700.0,3.0,801,20000,1.0,0.1,gauss,0.979850185451752,0.020149814548248046
PK,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9991178433800783,0.0008821566199217479
PK-oddK,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9992224360650136,0.0007775639349864027
INTSEQ,700.0,3.0,801,20000,1.0,0.1,gauss,0.966118390349327,0.033881609650672995
PK-noH,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9999999984924526,1.5075474202319583e-09
PK,700.0,5.0,801,20000,1.0,0.1,fejer,0.9943052385847653,0.005694761415234728
RANDW,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9974965299017898,0.00250347009821017
PK-scramble,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9991178433800783,0.0008821566199217479
PK-phaseJ,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9991140889865743,0.000885911013425722
PK-oddK,700.0,5.0,801,20000,1.0,0.1,fejer,0.9945284074441514,0.0054715925558486145
PK-noH,700.0,5.0,801,20000,1.0,0.1,fejer,0.9999998276623845,1.7233761551160853e-07
PK-scramble,700.0,5.0,801,20000,1.0,0.1,fejer,0.9943052385847653,0.005694761415234728
PK-phaseJ,700.0,5.0,801,20000,1.0,0.1,fejer,0.9942402359012887,0.005759764098711262
RANDW,700.0,5.0,801,20000,1.0,0.1,fejer,0.9830791977008745,0.016920802299125515
PK-oddK,700.0,5.0,801,20000,1.0,0.1,gauss,0.9945284074441514,0.0054715925558486145
PK,700.0,5.0,801,20000,1.0,0.1,gauss,0.9945254587998583,0.0054745412001416804
PK-noH,700.0,5.0,801,20000,1.0,0.1,gauss,0.9999999999411151,5.888489695848875e-11
PK-scramble,700.0,5.0,801,20000,1.0,0.1,gauss,0.9945254587998583,0.0054745412001416804
PK-phaseJ,700.0,5.0,801,20000,1.0,0.1,gauss,0.99447336280084,0.005526637199160023
CO,700.0,3.0,1201,20000,1.0,0.1,fejer,0.981181262395814,0.018818737604185953
RANDW,700.0,5.0,801,20000,1.0,0.1,gauss,0.983748946533825,0.016251053466174947
CO,700.0,5.0,801,20000,1.0,0.1,fejer,0.9112307220944217,0.08876927790557831
INTSEQ,700.0,5.0,801,20000,1.0,0.1,fejer,0.7882930676177403,0.21170693238225968
INTSEQ,700.0,3.0,1201,20000,1.0,0.1,fejer,0.9685077421605788,0.03149225783942122
PK,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9943082607645938,0.0056917392354062235
PK-oddK,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9945291962290402,0.0054708037709597646
PK-noH,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9999999234846926,7.651530742336377e-08
CO,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9798502357494986,0.020149764250501412
PK-scramble,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9943082607645938,0.0056917392354062235
INTSEQ,700.0,3.0,1201,20000,1.0,0.1,gauss,0.9661212523757461,0.03387874762425391
RANDW,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9830634357797917,0.016936564220208283
PK-phaseJ,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9942702319398874,0.0057297680601126055
PK,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9945252979446431,0.005474702055356939
PK-oddK,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9945291962290402,0.0054708037709597646
PK-noH,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9999999999731162,2.688382849669324e-11
CO,700.0,5.0,801,20000,1.0,0.1,gauss,0.907525089274629,0.09247491072537095
PK-scramble,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9945252979446431,0.005474702055356939
INTSEQ,700.0,5.0,801,20000,1.0,0.1,gauss,0.787375846607357,0.21262415339264296
RANDW,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9837454895152347,0.01625451048476534
PK,700.0,7.0,801,20000,1.0,0.1,fejer,0.9926195723281127,0.007380427671887291
PK-phaseJ,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9944921946342123,0.005507805365787655
PK-oddK,700.0,7.0,801,20000,1.0,0.1,fejer,0.9922112556426308,0.007788744357369204
PK-noH,700.0,7.0,801,20000,1.0,0.1,fejer,0.9999999632274394,3.677256055212297e-08
PK-scramble,700.0,7.0,801,20000,1.0,0.1,fejer,0.9926195723281127,0.007380427671887291
RANDW,700.0,7.0,801,20000,1.0,0.1,fejer,0.9615586557010678,0.0384413442989322
PK-phaseJ,700.0,7.0,801,20000,1.0,0.1,fejer,0.9926965238035544,0.0073034761964455575
PK,700.0,7.0,801,20000,1.0,0.1,gauss,0.9922135848511393,0.0077864151488606925
PK-oddK,700.0,7.0,801,20000,1.0,0.1,gauss,0.9922112556426308,0.007788744357369204
PK-noH,700.0,7.0,801,20000,1.0,0.1,gauss,0.9999999998617939,1.382061132204626e-10
CO,700.0,5.0,1201,20000,1.0,0.1,fejer,0.9112226341276245,0.0887773658723755
PK-scramble,700.0,7.0,801,20000,1.0,0.1,gauss,0.9922135848511393,0.0077864151488606925
PK-phaseJ,700.0,7.0,801,20000,1.0,0.1,gauss,0.9922980256050267,0.007701974394973332
RANDW,700.0,7.0,801,20000,1.0,0.1,gauss,0.9584118313882138,0.04158816861178616
INTSEQ,700.0,5.0,1201,20000,1.0,0.1,fejer,0.7883934776942052,0.2116065223057948
CO,700.0,7.0,801,20000,1.0,0.1,fejer,0.9019078900299491,0.09809210997005091
PK,700.0,7.0,1201,20000,1.0,0.1,fejer,0.9926196376468908,0.007380362353109238
CO,700.0,5.0,1201,20000,1.0,0.1,gauss,0.9075251907674998,0.09247480923250018
INTSEQ,700.0,7.0,801,20000,1.0,0.1,fejer,0.7767486791901991,0.22325132080980092
PK-oddK,700.0,7.0,1201,20000,1.0,0.1,fejer,0.992211051161475,0.007788948838524989
PK-noH,700.0,7.0,1201,20000,1.0,0.1,fejer,0.9999999835831955,1.6416804471397484e-08
PK-scramble,700.0,7.0,1201,20000,1.0,0.1,fejer,0.9926196376468908,0.007380362353109238
RANDW,700.0,7.0,1201,20000,1.0,0.1,fejer,0.961577838323413,0.03842216167658696
CO,700.0,7.0,801,20000,1.0,0.1,gauss,0.8998436946937167,0.10015630530628328
PK-phaseJ,700.0,7.0,1201,20000,1.0,0.1,fejer,0.9926062650946087,0.007393734905391303
INTSEQ,700.0,5.0,1201,20000,1.0,0.1,gauss,0.7873759431620018,0.21262405683799823
INTSEQ,700.0,7.0,801,20000,1.0,0.1,gauss,0.7715501053691127,0.22844989463088727
PK,700.0,7.0,1201,20000,1.0,0.1,gauss,0.9922136055609535,0.007786394439046496
PK-oddK,700.0,7.0,1201,20000,1.0,0.1,gauss,0.992211051161475,0.007788948838524989
PK-noH,700.0,7.0,1201,20000,1.0,0.1,gauss,0.9999999999384681,6.153189069380005e-11
PK-scramble,700.0,7.0,1201,20000,1.0,0.1,gauss,0.9922136055609535,0.007786394439046496
RANDW,700.0,7.0,1201,20000,1.0,0.1,gauss,0.9584077113049654,0.04159228869503462
PK,1000.0,3.0,801,20000,1.0,0.1,fejer,0.999592316934884,0.0004076830651159602
PK-phaseJ,700.0,7.0,1201,20000,1.0,0.1,gauss,0.9922000999084868,0.007799900091513212
PK-oddK,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9996159891057576,0.00038401089424244805
PK-noH,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9999999752773714,2.472262861097363e-08
PK-scramble,1000.0,3.0,801,20000,1.0,0.1,fejer,0.999592316934884,0.0004076830651159602
RANDW,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9972485760128214,0.0027514239871786472
PK-phaseJ,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9995952847712314,0.0004047152287686151
PK,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9996198561401144,0.0003801438598856066
PK-oddK,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9996159891057576,0.00038401089424244805
PK-noH,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9999999999848699,1.5130119379591633e-11
PK-scramble,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9996198561401144,0.0003801438598856066
PK-phaseJ,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9996225064536441,0.00037749354635585597
CO,700.0,7.0,1201,20000,1.0,0.1,fejer,0.9019057502512514,0.09809424974874859
RANDW,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9977150342003636,0.0022849657996364403
CO,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9999625551060365,3.7444893963511916e-05
INTSEQ,700.0,7.0,1201,20000,1.0,0.1,fejer,0.7767414575299518,0.22325854247004817
PK,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9995924379786311,0.0004075620213689346
CO,700.0,7.0,1201,20000,1.0,0.1,gauss,0.8998437139194976,0.10015628608050242
INTSEQ,1000.0,3.0,801,20000,1.0,0.1,fejer,0.9995296768906665,0.0004703231093334814
PK-noH,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9999999890145481,1.0985451881495578e-08
PK-oddK,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9996161924145184,0.0003838075854816214
PK-scramble,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9995924379786311,0.0004075620213689346
INTSEQ,700.0,7.0,1201,20000,1.0,0.1,gauss,0.7715501363628798,0.22844986363712017
RANDW,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9972536439649881,0.002746356035011943
PK-phaseJ,1000.0,3.0,1201,20000,1.0,0.1,fejer,0.9995956405082764,0.00040435949172357155
CO,1000.0,3.0,801,20000,1.0,0.1,gauss,0.9999611218428476,3.8878157152422155e-05
PK,1000.0,3.0,1201,20000,1.0,0.1,gauss,0.9996198885383554,0.0003801114616446277
