variant,t,Delta,N,Pmax,alpha,lam,kernel,det,dev
PK,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9976202355066295,0.0023797644933705175
PK-oddK,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9976053532935192,0.0023946467064808186
PK-noH,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9999999989992441,1.0007559225755358e-09
PK-scramble,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9976202355066295,0.0023797644933705175
RANDW,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9862694613859243,0.013730538614075694
PK,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9976047403775449,0.002395259622455126
PK-oddK,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9976053532935192,0.0023946467064808186
PK-noH,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9999999999999836,1.6431300764452317e-14
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9976197751416678,0.002380224858332225
PK-scramble,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9976047403775449,0.002395259622455126
RANDW,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9883392712454355,0.011660728754564476
PK,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953837221095907,0.004616277890409304
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9976034731477895,0.002396526852210479
PK-oddK,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9952119134632051,0.0047880865367948555
PK-noH,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.999999998103831,1.8961689995933284e-09
PK-scramble,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953837221095907,0.004616277890409304
RANDW,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9738938124898379,0.026106187510162138
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9953821283655061,0.0046178716344938975
PK-oddK,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952119134632051,0.0047880865367948555
PK,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952097400467255,0.004790259953274534
PK-noH,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9999999999999689,3.108624468950438e-14
CO,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9970533381802004,0.002946661819799634
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952072063005993,0.004792793699400666
PK-scramble,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9952097400467255,0.004790259953274534
INTSEQ,3000.0,5.0,2049,60000,1.0,0.05,fejer,0.9825669332393208,0.01743306676067924
RANDW,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9769729423850753,0.02302705761492474
CO,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9970089238981709,0.0029910761018291376
PK,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9913367166863782,0.008663283313621761
PK-oddK,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9904286222324579,0.009571377767542133
INTSEQ,3000.0,5.0,2049,60000,1.0,0.05,gauss,0.9825408559341172,0.01745914406588278
PK-noH,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9999999966290327,3.3709672830894988e-09
CO,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9942017385525107,0.005798261447489295
PK-scramble,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9913367166863782,0.008663283313621761
RANDW,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9531835224153067,0.04681647758469332
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9913308459058977,0.008669154094102294
PK,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9904205126972706,0.009579487302729395
PK-oddK,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9904286222324579,0.009571377767542133
INTSEQ,3000.0,5.0,2049,60000,1.0,0.1,fejer,0.9658656353159618,0.03413436468403819
PK-noH,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9999999999999447,5.5289106626332796e-14
PK-scramble,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9904205126972706,0.009579487302729395
RANDW,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9551231346889943,0.044876865311005654
PK-phaseJ,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9904154480452783,0.009584551954721743
CO,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9940178642006051,0.005982135799394883
INTSEQ,3000.0,5.0,2049,60000,1.0,0.1,gauss,0.9650828259072007,0.034917174092799264
CO,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9887803101477155,0.011219689852284498
INTSEQ,3000.0,5.0,2049,60000,1.0,0.2,fejer,0.9345146253127932,0.06548537468720683
CO,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9880357938640236,0.011964206135976374
INTSEQ,3000.0,5.0,2049,60000,1.0,0.2,gauss,0.9301700195330466,0.06982998046695343
